Tanggal,Forecast_KNN,Forecast_Random Forest,Forecast_LightGBM
2025-06-23,-0.8251999999999999,-0.6224053288964148,-0.4524728132752829
2025-06-24,-0.4800000000000001,-0.6985993267221855,-0.6492206298611937
2025-06-25,-0.10260000000000002,-0.784768063304934,-0.7502091617193316
2025-06-26,-0.2104,-0.8476428334422043,-0.6794614421412578
2025-06-27,-0.0258,-0.9225609076058096,-0.6794614421412578
2025-06-28,0.323,-0.9369528298280316,-0.6794614421412578
2025-06-29,0.19,-0.8930845522722541,-0.6794614421412578
2025-06-30,0.42160000000000003,-0.8748992869493418,-0.6794614421412578
2025-07-01,0.5064000000000001,-0.884896170066225,-0.6794614421412578
2025-07-02,0.7878000000000001,-0.8797491938757486,-0.6794614421412578
2025-07-03,0.9026,-0.880521170066225,-0.6794614421412578
2025-07-04,0.7962,-0.880521170066225,-0.6794614421412578
2025-07-05,0.6207999999999999,-0.880521170066225,-0.6794614421412578
2025-07-06,0.6208,-0.880521170066225,-0.6794614421412578
2025-07-07,0.52,-0.880521170066225,-0.6794614421412578
2025-07-08,0.594,-0.880521170066225,-0.6794614421412578
2025-07-09,0.594,-0.880521170066225,-0.6794614421412578
2025-07-10,0.594,-0.880521170066225,-0.6794614421412578
2025-07-11,0.6294000000000001,-0.880521170066225,-0.6794614421412578
2025-07-12,0.6294,-0.880521170066225,-0.6794614421412578
2025-07-13,0.7587999999999999,-0.880521170066225,-0.6794614421412578
2025-07-14,0.8642,-0.880521170066225,-0.6794614421412578
2025-07-15,0.7568,-0.880521170066225,-0.6794614421412578
2025-07-16,0.6207999999999999,-0.880521170066225,-0.6794614421412578
2025-07-17,0.45599999999999996,-0.880521170066225,-0.6794614421412578
2025-07-18,0.52,-0.880521170066225,-0.6794614421412578
2025-07-19,0.594,-0.880521170066225,-0.6794614421412578
2025-07-20,0.6274,-0.880521170066225,-0.6794614421412578
2025-07-21,0.8642,-0.880521170066225,-0.6794614421412578
2025-07-22,0.8642,-0.880521170066225,-0.6794614421412578
